Ranking,Name,FullName,Age,Height,Weight,Nationality,Overall,Potential,Growth,TotalStats,BaseStats,Positions,BestPosition,Club,ValueEUR,WageEUR,ReleaseClause,ClubPosition,ContractUntil,ClubNumber,ClubJoined,OnLoad,NationalTeam,Maximum Wage,Minimum Wage,Average Wage,Maximum Rating,Minimum Rating,Average Rating
636,Marcos Alonso,Marcos Alonso Mendoza,31,188,85,Spain,79,79,0,2143,436,"LB,LWB",LB,FC Barcelona,12500000,115000,25600000,SUB,2023,17,2022,FALSE,Not in team,,,,,,
637,Ander Herrera,Ander Herrera Agüera,32,182,71,Spain,79,79,0,2123,439,"CM,CDM",CDM,Athletic Club de Bilbao,14000000,78000,0,SUB,2023,23,2019,TRUE,Not in team,,,,,,
638,N. Mati?,Nemanja Mati?,33,194,83,Serbia,79,79,0,1954,403,CDM,CDM,Roma,8500000,60000,14500000,SUB,2023,8,2022,FALSE,Not in team,,,,,,
639,M. Silvestri,Marco Silvestri,31,191,80,Italy,79,79,0,1232,440,GK,GK,Udinese Calcio,9500000,16000,16200000,GK,2024,1,2021,FALSE,Not in team,,,,,,
640,M. Antonio,Michail Antonio,32,178,82,Jamaica,79,79,0,2103,445,ST,ST,West Ham United,14000000,79000,26600000,ST,2024,9,2015,FALSE,Not in team,,,,,,
641,B. André,Benjamin André,31,180,76,France,79,79,0,2087,439,"CDM,CM",CDM,LOSC Lille,12500000,35000,23800000,CDM,2023,21,2019,FALSE,Not in team,,,,,,
642,D. Klaassen,Davy Klaassen,29,179,70,Netherlands,79,79,0,2126,449,"CAM,CM",CAM,Ajax,17000000,21000,23800000,SUB,2024,6,2020,FALSE,Netherlands,,,,,,
643,A. Florenzi,Alessandro Florenzi,31,173,67,Italy,79,79,0,2154,446,RB,RB,AC Milan,12500000,60000,21300000,SUB,2025,25,2022,FALSE,Italy,,,,,,
644,Héctor Bellerín,Héctor Bellerín Moruno,27,178,74,Spain,79,80,1,1951,418,RB,RB,FC Barcelona,18500000,115000,39300000,SUB,2023,2,2022,FALSE,Not in team,,,,,,
645,A. Milik,Arkadiusz Milik,28,186,80,Poland,79,79,0,1924,394,ST,ST,Juventus,18000000,50000,0,SUB,2023,14,2022,TRUE,Poland,,,,,,
646,Munir,Munir El Haddadi,26,175,69,Morocco,79,79,0,1963,411,"LM,RM,LW",LM,Getafe CF,19000000,33000,39900000,SUB,2023,17,2022,FALSE,Morocco,,,,,,
647,L. Ajorque,Ludovic Ajorque,28,197,92,France,79,79,0,1880,410,ST,ST,RC Strasbourg Alsace,18000000,36000,34200000,ST,2024,25,2018,FALSE,Not in team,,,,,,
648,D. Djené,Dakonam Djené,30,178,72,Togo,79,79,0,1808,385,CB,CB,Getafe CF,14500000,30000,30500000,CB,2023,2,2017,FALSE,Not in team,,,,,,
649,D. Zappacosta,Davide Zappacosta,30,182,75,Italy,79,79,0,2062,438,"LWB,LM,RM",LWB,Atalanta,15000000,48000,25500000,SUB,2025,77,2021,FALSE,Not in team,,,,,,
650,L. Zelarayán,Lucas Zelarayán,30,172,70,Armenia,79,79,0,2032,419,CAM,CAM,Columbus Crew,17000000,12000,25500000,CAM,2024,10,2020,FALSE,Not in team,,,,,,
651,F. Armani,Franco Armani,35,189,88,Argentina,79,79,0,1291,429,GK,GK,River Plate,1900000,10000,2700000,GK,2024,1,2018,FALSE,Argentina,,,,,,
652,Adama Traoré,Adama Traoré Diarra,26,178,86,Spain,79,80,1,1929,436,"RW,LW",RW,Wolverhampton Wanderers,20500000,90000,40500000,SUB,2023,37,2018,FALSE,Not in team,,,,,,
591,A. Modeste,Anthony Modeste,34,187,84,France,79,79,0,1878,394,ST,ST,Borussia Dortmund,8500000,53000,14500000,ST,2023,20,2022,FALSE,Not in team,,,,,,
621,Ismaily,Ismaily Gonçalves dos S.,32,177,82,Brazil,79,79,0,2054,448,LB,LB,LOSC Lille,12000000,35000,22800000,LB,2023,31,2022,FALSE,Not in team,,,,,,
589,J. Hernández,Javier Hernández,34,175,73,Mexico,79,79,0,1884,388,ST,ST,LA Galaxy,8500000,13000,12800000,ST,2022,14,2020,FALSE,Not in team,,,,,,
536,Matheus Nunes,Matheus Luiz Nunes,23,183,76,Portugal,79,86,7,2103,458,CM,CAM,Wolverhampton Wanderers,35000000,73000,73500000,CM,2027,27,2022,FALSE,Portugal,,,,,,
528,Ansu Fati,Anssumane Fati,19,178,66,Spain,79,90,11,1913,402,LW,CAM,FC Barcelona,38000000,84000,85500000,LW,2027,10,2018,FALSE,Not in team,,,,,,
529,Pedro,Pedro Rodríguez Ledesma,34,169,65,Spain,79,79,0,1912,396,"LW,RW,CF",CAM,Lazio,8000000,57000,13600000,SUB,2023,9,2021,FALSE,Not in team,,,,,,
530,G. Goodman,George Goodman,29,180,70,England,79,79,0,2039,431,LB,LB,AFC Richmond,15500000,53000,29500000,LB,2023,17,2019,FALSE,Not in team,,,,,,
531,M. Bumbercatch,Moe Bumbercatch,25,174,65,England,79,82,3,2042,440,"CM,CDM,CAM",CM,AFC Richmond,23000000,53000,45400000,CM,2024,21,2018,FALSE,Not in team,,,,,,
532,Gavi,Pablo Martín Páez Gavira,17,173,68,Spain,79,88,9,2022,432,"CM,LW,RW",CAM,FC Barcelona,36000000,17000,81000000,SUB,2026,30,2020,FALSE,Not in team,,,,,,
533,Yeremy Pino,Yeremy Jesús Pino Santos,19,172,60,Spain,79,87,8,1828,388,"RM,ST",CAM,Villarreal CF,38000000,21000,87400000,RM,2027,21,2020,FALSE,Not in team,,,,,,
534,Gonçalo Inácio,Gonçalo Bernardo Inácio,20,185,78,Portugal,79,88,9,1773,395,CB,CB,Sporting CP,36000000,11000,79200000,CB,2026,25,2019,FALSE,Not in team,,,,,,
535,Vitinha,Vítor Machado Ferreira,22,172,64,Portugal,79,89,10,2007,425,"CM,CAM",CAM,Paris Saint-Germain,39500000,68000,81000000,CM,2027,17,2022,FALSE,Not in team,,,,,,
537,G. Raspadori,Giacomo Raspadori,22,172,69,Italy,79,86,7,1869,393,"CF,CAM,LM",CAM,Napoli,36000000,37000,0,SUB,2023,81,2019,TRUE,Italy,,,,,,
547,M. Lanzini,Manuel Lanzini,29,167,59,Argentina,79,79,0,1975,399,"CAM,CM",CAM,West Ham United,17000000,75000,32299999,SUB,2023,10,2016,FALSE,Not in team,,,,,,
538,S. Chukwueze,Samuel Chukwueze,23,172,70,Nigeria,79,85,6,1898,416,"RM,RW",LM,Villarreal CF,27500000,32000,63300000,SUB,2024,11,2018,FALSE,Not in team,,,,,,
539,A. Musrati,Ali Musrati,26,189,83,Libya,79,83,4,1903,420,"CDM,CM",CDM,SC Braga,22000000,17000,45700000,CDM,2024,8,2020,FALSE,Not in team,,,,,,
540,Beto,Norberto Gomes Betuncal,24,194,88,Portugal,79,82,3,1828,403,ST,ST,Udinese Calcio,24500000,21000,43500000,ST,2026,9,2022,FALSE,Not in team,,,,,,
541,W. Fofana,Wesley Fofana,21,190,76,France,79,86,7,1772,388,CB,CB,Chelsea,33000000,67000,67700000,SUB,2028,33,2022,FALSE,Not in team,,,,,,
542,E. Camavinga,Eduardo Camavinga,19,182,68,France,79,89,10,2125,455,"CM,CDM",CDM,Real Madrid CF,38000000,78000,85500000,SUB,2027,12,2021,FALSE,Not in team,,,,,,
543,Zubimendi,Martín Zubimendi Ibáñez,23,181,74,Spain,79,86,7,1994,420,"CM,CDM",CM,Real Sociedad,35000000,32000,80500000,CM,2025,3,2018,FALSE,Not in team,,,,,,
544,Ibañez,Roger Ibañez Da Silva,23,185,73,Brazil,79,83,4,1694,377,CB,CB,Roma,22500000,51000,39900000,CB,2025,3,2021,FALSE,Not in team,,,,,,
545,M. Caqueret,Maxence Caqueret,22,174,63,France,79,85,6,1982,428,"CDM,CM",CM,Olympique Lyonnais,26000000,52000,54600000,CM,2026,6,2018,FALSE,Not in team,,,,,,
527,R. Gravenberch,Ryan Gravenberch,20,190,77,Netherlands,79,89,10,2101,454,CM,CAM,FC Bayern München,38500000,45000,71200000,SUB,2027,38,2022,FALSE,Netherlands,,,,,,
525,Luís Maximiano,Luís Manuel Arantes Maximiano,23,190,82,Portugal,79,85,6,1180,435,GK,GK,Lazio,22500000,32000,42800000,SUB,2026,1,2022,FALSE,Not in team,,,,,,
524,L. Stindl,Lars Stindl,33,181,80,Germany,79,79,0,2100,426,CAM,CAM,Borussia Mönchengladbach,11000000,34000,18700000,CAM,2023,13,2015,FALSE,Not in team,,,,,,
523,Y. Fofana,Youssouf Fofana,23,176,69,France,79,84,5,2029,437,"CDM,CM",CDM,AS Monaco,24500000,43000,48400000,CM,2024,19,2020,FALSE,Not in team,,,,,,
588,A. Witsel,Axel Witsel,33,186,81,Belgium,79,79,0,2002,403,"CDM,CM,CB",CDM,Atlético de Madrid,8500000,51000,17400000,CB,2023,20,2022,FALSE,Belgium,,,,,,
507,N. Maksimovi?,Nemanja Maksimovi?,27,189,78,Serbia,79,80,1,2039,426,"CM,CDM",CM,Getafe CF,20000000,33000,43500000,CDM,2024,20,2018,FALSE,Not in team,,,,,,
508,Unai Núñez,Unai Núñez Gestoso,25,186,81,Spain,79,83,4,1580,354,CB,CB,RC Celta de Vigo,22000000,28000,0,CB,2023,4,2016,TRUE,Not in team,,,,,,
509,O. Kökçü,Orkun Kökçü,21,175,68,Turkey,79,86,7,2089,444,"CM,CAM",CAM,Feyenoord,35500000,11000,60400000,CM,2025,10,2017,FALSE,Not in team,,,,,,
510,A. Nwakaeme,Anthony Nwakaeme,33,185,80,Nigeria,79,79,0,1974,428,LM,LM,Al Fayha,11000000,32000,18200000,LM,2024,9,2022,FALSE,Not in team,,,,,,
511,Luis Milla,Luis Milla Manzanares,27,175,67,Spain,79,81,2,2083,439,"CDM,CM",CDM,Getafe CF,19000000,30000,41300000,SUB,2027,5,2022,FALSE,Not in team,,,,,,
512,T. Malacia,Tyrell Malacia,22,169,67,Netherlands,79,85,6,2004,436,LB,LWB,Manchester United,26500000,86000,55700000,LB,2026,12,2022,FALSE,Netherlands,,,,,,
513,J. David,Jonathan David,22,180,77,Canada,79,85,6,1912,414,ST,ST,LOSC Lille,28500000,37000,59900000,ST,2025,9,2020,FALSE,Canada,,,,,,
514,C. Gallagher,Conor Gallagher,22,182,77,England,79,86,7,2052,444,CM,CM,Chelsea,35500000,89000,72800000,SUB,2025,23,2017,FALSE,England,,,,,,
515,A. Sánchez,Alexis Sánchez,33,168,62,Chile,79,79,0,2052,420,"CF,ST",CAM,Olympique de Marseille,11000000,48000,20900000,ST,2023,70,2022,FALSE,Not in team,,,,,,
516,P. Estupiñán,Pervis Estupiñán,24,175,78,Ecuador,79,83,4,1915,419,"LB,LWB",LB,Brighton & Hove Albion,23500000,55000,46400000,SUB,2027,30,2022,FALSE,Not in team,,,,,,
517,J. Foyth,Juan Foyth,24,187,69,Argentina,79,84,5,1929,416,"RB,CB,CDM",CB,Villarreal CF,24500000,29000,53300000,RB,2026,8,2021,FALSE,Not in team,,,,,,
518,Kim Min Jae,Min Jae Kim,25,190,81,Korea Republic,79,84,5,1763,395,CB,CB,Napoli,23000000,49000,40800000,CB,2025,3,2022,FALSE,Not in team,,,,,,
519,D. Szoboszlai,Dominik Szoboszlai,21,186,74,Hungary,79,87,8,1990,415,"CAM,LM",CAM,RB Leipzig,39500000,41000,75100000,CAM,2026,17,2021,FALSE,Hungary,,,,,,
520,David Neres,David Neres Campos,25,176,71,Brazil,79,82,3,1906,414,"RW,LW,CAM",CAM,SL Benfica,23000000,18000,47700000,RM,2027,7,2022,FALSE,Not in team,,,,,,
521,A. Ogbonna,Angelo Ogbonna,34,191,86,Italy,79,79,0,1688,361,CB,CB,West Ham United,5500000,66000,10500000,SUB,2023,21,2015,FALSE,Not in team,,,,,,
522,J. Boateng,Jérôme Boateng,33,190,94,Germany,79,79,0,1859,389,CB,CB,Olympique Lyonnais,8500000,60000,16200000,SUB,2023,17,2021,FALSE,Not in team,,,,,,
546,B. Dia,Boulaye Dia,25,180,75,Senegal,79,83,4,1849,402,"ST,RW",ST,US Salernitana 1919,24500000,39000,0,ST,2023,29,2021,TRUE,Not in team,,,,,,
526,Diego López,Diego López Rodríguez,40,196,89,Spain,79,79,0,1206,425,GK,GK,Rayo Vallecano,1900000,11000,4000000,SUB,2023,13,2022,FALSE,Not in team,,,,,,
548,Guaita,Vicente Guaita Panadero,35,190,80,Spain,79,79,0,1378,444,GK,GK,Crystal Palace,1900000,29000,3600000,GK,2023,13,2018,FALSE,Not in team,,,,,,
579,D. Malen,Donyell Malen,23,178,77,Netherlands,79,85,6,2018,429,"ST,LM",ST,Borussia Dortmund,28000000,47000,53200000,LM,2026,21,2021,FALSE,Netherlands,,,,,,
570,N. Pépé,Nicolas Pépé,27,183,73,Côte d'Ivoire,79,79,0,1974,419,RM,LW,OGC Nice,18500000,83000,0,RM,2023,29,2019,TRUE,Not in team,,,,,,
571,A. Golovin,Alexandr Golovin,26,180,69,Russia,79,80,1,2085,435,"LM,RM,CAM",CAM,AS Monaco,20500000,55000,40500000,LW,2024,17,2018,FALSE,Not in team,,,,,,
572,David García,David García Zubiria,28,185,72,Spain,79,81,2,1784,383,CB,CB,CA Osasuna,17500000,32000,38100000,CB,2026,5,2013,FALSE,Not in team,,,,,,
573,E. Skhiri,Ellyes Skhiri,27,185,74,Tunisia,79,80,1,2083,440,"CDM,CM",CDM,1. FC Köln,18000000,31000,33800000,CDM,2023,28,2019,FALSE,Not in team,,,,,,
574,A. Maruši?,Adam Maruši?,29,185,85,Montenegro,79,79,0,2069,445,"LB,RB",LB,Lazio,15500000,51000,26400000,LB,2024,77,2017,FALSE,Not in team,,,,,,
575,W. Weghorst,Wout Weghorst,29,197,84,Netherlands,79,79,0,1902,404,ST,ST,Be?ikta? JK,17500000,59000,0,ST,2023,10,2022,TRUE,Netherlands,,,,,,
576,J. Omlin,Jonas Omlin,28,189,80,Switzerland,79,81,2,1358,438,GK,GK,Montpellier Hérault SC,15000000,23000,29600000,GK,2024,1,2020,FALSE,Not in team,,,,,,
578,D. van de Beek,Donny van de Beek,25,184,74,Netherlands,79,84,5,2118,445,"CM,CDM,CAM",CAM,Manchester United,25500000,105000,50400000,SUB,2025,34,2020,FALSE,Not in team,,,,,,
580,Rafa Mir,Rafael Mir Vicente,25,191,86,Spain,79,84,5,1955,420,ST,ST,Sevilla FC,26000000,33000,56600000,SUB,2027,12,2021,FALSE,Not in team,,,,,,
568,Pablo Fornals,Pablo Fornals Malla,26,178,67,Spain,79,81,2,2069,439,"CAM,LM",CM,West Ham United,21500000,72000,42500000,LM,2024,8,2019,FALSE,Not in team,,,,,,
581,B. White,Benjamin White,24,185,77,England,79,86,7,1761,395,CB,CDM,Arsenal,32500000,65000,68300000,RB,2026,4,2021,FALSE,Not in team,,,,,,
582,J. Bijlow,Justin Bijlow,24,188,76,Netherlands,79,85,6,1236,449,GK,GK,Feyenoord,22500000,9000,38300000,GK,2025,1,2015,FALSE,Netherlands,,,,,,
583,S. Mandanda,Steve Mandanda,37,185,82,France,79,79,0,1278,437,GK,GK,Stade Rennais FC,1900000,25000,3600000,GK,2024,30,2022,FALSE,Not in team,,,,,,
584,J. Evans,Jonny Evans,34,188,77,Northern Ireland,79,79,0,1698,358,CB,CB,Leicester City,5500000,76000,10500000,CB,2023,6,2018,FALSE,Northern Ireland,,,,,,
585,Joaquín,Joaquín Sánchez Rodríguez,40,179,75,Spain,79,79,0,1933,405,"RM,LM",CAM,Real Betis Balompié,0,20000,0,SUB,2023,17,2015,FALSE,Not in team,,,,,,
586,D. Wass,Daniel Wass,33,181,74,Denmark,79,79,0,2170,456,"CM,RM,RB",CM,Brøndby IF,11000000,20000,14300000,CM,2025,10,2022,FALSE,Denmark,,,,,,
587,Ó. Trejo,Óscar Trejo,34,180,79,Argentina,79,79,0,2171,452,CAM,CAM,Rayo Vallecano,8000000,25000,16800000,CAM,2023,8,2017,FALSE,Not in team,,,,,,
549,A. Talavera,Alfredo Talavera,39,186,85,Mexico,79,79,0,1345,446,GK,GK,Free agent,0,0,0,,,,2020,FALSE,Mexico,,,,,,
569,N. Mukiele,Nordi Mukiele,24,187,84,France,79,83,4,1976,428,"RWB,CB",CB,Paris Saint-Germain,23500000,61000,45200000,SUB,2027,26,2022,FALSE,Not in team,,,,,,
577,J. Weigl,Julian Weigl,26,187,80,Germany,79,80,1,2029,429,"CM,CDM",CDM,Borussia Mönchengladbach,20500000,17000,0,CDM,2023,8,2020,TRUE,Not in team,,,,,,
550,R. Bentancur,Rodrigo Bentancur,25,187,73,Uruguay,79,83,4,2107,443,CM,CDM,Tottenham Hotspur,24500000,85000,48400000,CM,2026,30,2022,FALSE,Not in team,,,,,,
559,Diego Essler,Ronaldo Diego Essler Domingues,22,168,65,Brazil,79,79,0,2016,427,"LB,LM",LB,Clube Atlético Mineiro,19000000,32000,34200000,CAM,2025,7,2022,FALSE,Brazil,,,,,,
567,B. Pavard,Benjamin Pavard,26,186,81,France,79,81,2,2024,423,"RB,CB",CB,FC Bayern München,20000000,56000,34500000,RB,2024,5,2019,FALSE,France,,,,,,
551,G. Montiel,Gonzalo Montiel,25,175,70,Argentina,79,81,2,2046,444,"RB,RWB",RWB,Sevilla FC,20000000,28000,43500000,SUB,2026,2,2021,FALSE,Argentina,,,,,,
552,L. Blas,Ludovic Blas,24,180,70,France,79,83,4,2069,430,"CAM,RM,ST",CAM,FC Nantes,25000000,28000,51900000,RW,2024,10,2019,FALSE,Not in team,,,,,,
553,Matheus Reis,Matheus Reis de Lima,27,184,80,Brazil,79,82,3,1969,428,"CB,LB,LWB",CB,Sporting CP,20000000,16000,41500000,LWB,2026,2,2021,FALSE,Not in team,,,,,,
554,Luimo Boas Santos,Luan Vágner Boas Macedo,22,176,73,Brazil,79,79,0,1907,400,ST,CF,Santos,21000000,32000,39900000,ST,2025,9,2022,FALSE,Brazil,,,,,,
555,Gabri Prestão,Bernard Gabriel Prestão Chaves,30,186,80,Brazil,79,79,0,1191,446,GK,GK,Internacional,11500000,25000,21900000,GK,2025,16,2022,FALSE,Not in team,,,,,,
557,Jorge Andrão,Everton Jorge Andrade Zanon,26,177,75,Brazil,79,79,0,2040,432,"CDM,CM",CDM,Fluminense,17000000,27000,32299999,CDM,2025,26,2022,FALSE,Brazil,,,,,,
558,Adnan Vidual,Adnan Claudiano Vidual Machado,30,175,70,Brazil,79,79,0,1930,423,RB,RB,Internacional,15000000,30000,28500000,RB,2025,25,2022,FALSE,Brazil,,,,,,
556,Melvin Parrela,Melvin Luan Parrela Porfírio,22,188,88,Brazil,79,79,0,2099,446,CDM,CB,RB Bragantino,18500000,17000,35200000,CM,2025,4,2022,FALSE,Brazil,,,,,,
506,A. Gouiri,Amine Gouiri,22,181,83,France,79,86,7,2024,429,"ST,LM",CAM,Stade Rennais FC,36000000,49000,75600000,ST,2027,19,2022,FALSE,Not in team,,,,,,
562,O. Zinchenko,Oleksandr Zinchenko,25,175,64,Ukraine,79,82,3,2133,439,LB,CM,Arsenal,21500000,73000,42500000,LB,2027,35,2022,FALSE,Ukraine,,,,,,
565,D. Sánchez,Davinson Sánchez,26,187,81,Colombia,79,80,1,1782,401,CB,CB,Tottenham Hotspur,18000000,81000,35600000,SUB,2024,6,2017,FALSE,Not in team,,,,,,
564,A. Rossi,Agustín Rossi,26,195,95,Argentina,79,83,4,1303,428,GK,GK,Boca Juniors,19000000,16000,28000000,GK,2023,1,2017,FALSE,Not in team,,,,,,
563,E. Konsa,Ezri Konsa,24,183,77,England,79,86,7,1844,406,CB,CB,Aston Villa,32500000,65000,68300000,CB,2026,4,2019,FALSE,Not in team,,,,,,
566,M. Cash,Matty Cash,24,185,74,Poland,79,84,5,2048,443,"RB,RWB",RWB,Aston Villa,24500000,65000,48400000,RB,2027,2,2020,FALSE,Poland,,,,,,
561,E. Ávila,Ezequiel Ávila,28,172,81,Argentina,79,79,0,2003,430,"ST,RM",ST,CA Osasuna,18000000,38000,37800000,ST,2026,9,2019,FALSE,Not in team,,,,,,
560,Emelvinson,Emelvin William Anjos Rochedo,34,190,85,Brazil,79,79,0,1187,429,GK,GK,RB Bragantino,3000000,16000,5700000,GK,2025,1,2022,FALSE,Brazil,,,,,,
801,M. Rojo,Marcos Rojo,32,186,82,Argentina,78,78,0,1974,414,CB,CB,Boca Juniors,9000000,18000,12600000,CB,2022,6,2021,FALSE,Not in team,,,,,,
792,R. Borré,Rafael Santos Borré,26,174,70,Colombia,78,79,1,2065,428,ST,ST,Eintracht Frankfurt,17000000,33000,30200000,SUB,2025,19,2021,FALSE,Not in team,,,,,,
793,S. Benrahma,Saïd Benrahma,26,172,67,Algeria,78,78,0,1911,400,"LM,CAM",LM,West Ham United,15500000,66000,29500000,CAM,2026,22,2021,FALSE,Not in team,,,,,,
794,J. Brooks,John Brooks,29,193,78,United States,78,79,1,1684,372,CB,CB,SL Benfica,13000000,15000,27000000,SUB,2023,25,2022,FALSE,Not in team,,,,,,
795,Pozuelo,Alejandro Pozuelo Melero,30,170,74,Spain,78,78,0,2004,416,"CAM,CF",CAM,Inter Miami CF,13500000,11000,19600000,CAM,2023,8,2022,FALSE,Not in team,,,,,,
796,A. Carrillo,André Carrillo,31,182,78,Peru,78,78,0,1971,422,"RW,CM",RW,Al Hilal,11500000,45000,19600000,CM,2024,19,2019,FALSE,Not in team,,,,,,
797,G. Caprari,Gianluca Caprari,28,176,72,Italy,78,78,0,1904,405,CF,CAM,AC Monza,14500000,34000,0,ST,2023,17,2022,TRUE,Not in team,,,,,,
798,W. Boly,Willy Boly,31,195,97,Côte d'Ivoire,78,78,0,1725,377,CB,CB,Nottingham Forest,9500000,57000,18100000,SUB,2024,30,2022,FALSE,Not in team,,,,,,
799,Fernando,Fernando Lucas Martins,30,173,66,Brazil,78,78,0,2086,440,"CDM,CM",CDM,Antalyaspor,12000000,27000,24000000,CM,2023,8,2022,FALSE,Not in team,,,,,,
800,T. Meunier,Thomas Meunier,30,191,90,Belgium,78,78,0,2096,448,"RB,RM",RB,Borussia Dortmund,12000000,41000,20400000,RB,2024,24,2020,FALSE,Belgium,,,,,,
810,M. Niakhaté,Moussa Niakhaté,26,190,85,France,78,80,2,1860,410,CB,CB,Nottingham Forest,15500000,57000,30600000,SUB,2025,19,2022,FALSE,Not in team,,,,,,
802,A. Mandi,Aïssa Mandi,30,184,78,Algeria,78,78,0,1929,401,CB,CB,Villarreal CF,11500000,31000,24200000,SUB,2025,23,2021,FALSE,Not in team,,,,,,
803,S. Rode,Sebastian Rode,31,180,71,Germany,78,78,0,1995,421,"CDM,CM",CDM,Eintracht Frankfurt,10000000,28000,17000000,CDM,2024,17,2019,FALSE,Not in team,,,,,,
804,L. Unnerstall,Lars Unnerstall,31,198,103,Germany,78,78,0,1099,409,GK,GK,FC Twente,7500000,12000,11300000,GK,2025,1,2021,FALSE,Not in team,,,,,,
805,Campaña,José Gómez Campaña,29,179,70,Spain,78,78,0,2083,437,"CM,LM,RM",CM,Levante Unión Deportiva,13500000,16000,21600000,CM,2023,24,2016,FALSE,Not in team,,,,,,
806,G. Trauner,Gernot Trauner,30,183,82,Austria,78,78,0,1949,418,CB,CB,Feyenoord,11500000,12000,17300000,CB,2025,18,2021,FALSE,Austria,,,,,,
807,D. Praet,Dennis Praet,28,181,78,Belgium,78,78,0,2012,424,"CAM,CF,CM",CAM,Leicester City,14000000,79000,26600000,SUB,2024,26,2019,FALSE,Belgium,,,,,,
808,Oriol Romeu,Oriol Romeu Vidal,30,183,83,Spain,78,78,0,1808,371,"CDM,CM",CDM,Girona FC,12000000,26000,26400000,CDM,2025,18,2022,FALSE,Not in team,,,,,,
809,Lucas Pérez,Lucas Pérez Martínez,33,180,73,Spain,78,78,0,1959,407,ST,CF,Cádiz CF,9000000,35000,18900000,ST,2023,15,2022,FALSE,Not in team,,,,,,
790,M. Ryan,Mathew Ryan,30,184,82,Australia,78,78,0,1359,445,GK,GK,F.C. København,9500000,20000,12400000,GK,2024,51,2022,FALSE,Australia,,,,,,
791,S. Driussi,Sebastián Driussi,26,179,79,Argentina,78,81,3,1898,403,"CAM,ST",CAM,Austin FC,18500000,11000,29100000,CAM,2024,7,2021,FALSE,Not in team,,,,,,
768,E. Pérez,Enzo Pérez,36,178,77,Argentina,78,78,0,2086,436,CDM,CDM,River Plate,2800000,13000,3900000,CDM,2023,24,2017,FALSE,Not in team,,,,,,
789,Douglas Luiz,Douglas Luiz Soares de Paulo,24,175,66,Brazil,78,83,5,2034,432,"CDM,CM",CM,Aston Villa,19500000,59000,38500000,SUB,2023,6,2019,FALSE,Not in team,,,,,,
788,D. D'Ambrosio,Danilo D'Ambrosio,33,180,75,Italy,78,78,0,2007,416,CB,CB,Inter,6500000,54000,10700000,SUB,2023,33,2021,FALSE,Not in team,,,,,,
812,Andrei Girotto,Andrei Girotto,30,186,79,Brazil,78,78,0,1977,414,"CB,CDM",CB,FC Nantes,11500000,26000,23000000,CB,2024,3,2017,FALSE,Not in team,,,,,,
769,J. Tavernier,James Tavernier,30,182,75,England,78,78,0,2191,460,RB,RB,Rangers FC,12000000,51000,21600000,RB,2027,2,2015,FALSE,Not in team,,,,,,
770,M. Faraoni,Marco Davide Faraoni,30,180,71,Italy,78,78,0,2151,449,"RWB,RM",RWB,Hellas Verona,12000000,27000,20400000,RM,2024,5,2019,FALSE,Not in team,,,,,,
771,Willian José,Willian José da Silva,30,189,91,Brazil,78,78,0,1899,401,ST,ST,Real Betis Balompié,14000000,28000,29400000,SUB,2026,12,2022,FALSE,Not in team,,,,,,
772,Pablo Maffeo,Pablo Maffeo Becerra,24,172,70,Spain,78,83,5,1913,424,"RB,RWB",RB,RCD Mallorca,20000000,23000,45500000,RWB,2026,15,2022,FALSE,Not in team,,,,,,
773,O. Watkins,Ollie Watkins,26,180,70,England,78,81,3,1987,425,"ST,LW",ST,Aston Villa,18500000,82000,36500000,ST,2025,11,2020,FALSE,Not in team,,,,,,
774,T. Castagne,Timothy Castagne,26,185,80,Belgium,78,80,2,1970,428,"RB,LB",RWB,Leicester City,16000000,69000,31600000,RB,2025,27,2020,FALSE,Belgium,,,,,,
775,F. Cervi,Franco Cervi,28,165,62,Argentina,78,78,0,1982,416,"LM,RM",LM,RC Celta de Vigo,14000000,27000,29400000,LM,2024,11,2021,FALSE,Not in team,,,,,,
776,E. Ünal,Enes Ünal,25,187,78,Turkey,78,82,4,1926,406,ST,ST,Getafe CF,20000000,31000,43500000,ST,2025,10,2020,FALSE,Not in team,,,,,,
777,G. Arias,Gabriel Arias,34,188,82,Chile,78,78,0,1305,426,GK,GK,Racing Club,2400000,16000,3600000,GK,2023,21,2018,FALSE,Not in team,,,,,,
778,S. Rochet,Sergio Rochet,29,190,85,Uruguay,78,80,2,1211,430,GK,GK,Club Nacional de Football,11500000,850,26200000,GK,2023,1,2019,FALSE,Not in team,,,,,,
780,A. Nübel,Alexander Nübel,25,193,88,Germany,78,84,6,1212,424,GK,GK,AS Monaco,17500000,39000,0,GK,2023,16,2020,TRUE,Not in team,,,,,,
781,Sergio Herrera,Sergio Herrera Pirón,29,192,82,Spain,78,79,1,1234,428,GK,GK,CA Osasuna,11000000,24000,23900000,GK,2026,1,2017,FALSE,Not in team,,,,,,
782,M. Lopez,Maxime Lopez,24,167,58,France,78,81,3,2091,428,"CM,CDM",CAM,U.S. Sassuolo Calcio,19000000,30000,33700000,CDM,2025,27,2020,FALSE,Not in team,,,,,,
783,K. Toko Ekambi,Karl Toko Ekambi,29,185,74,Cameroon,78,78,0,1901,402,"LM,LW",LM,Olympique Lyonnais,14000000,62000,26600000,LW,2024,7,2020,FALSE,Not in team,,,,,,
